2024-02-12 14:38:10,366 INFO    MainThread:54562 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-02-12 14:38:10,367 INFO    MainThread:54562 [wandb_setup.py:_flush():76] Configure stats pid to 54562
2024-02-12 14:38:10,367 INFO    MainThread:54562 [wandb_setup.py:_flush():76] Loading settings from /home/tjc2g19/.config/wandb/settings
2024-02-12 14:38:10,367 INFO    MainThread:54562 [wandb_setup.py:_flush():76] Loading settings from /mainfs/home/tjc2g19/BeyondTheRainbow/BTR_emaTrue_trFalse_C8000_lr25e-4/wandb/settings
2024-02-12 14:38:10,367 INFO    MainThread:54562 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'mode': 'offline'}
2024-02-12 14:38:10,367 INFO    MainThread:54562 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-12 14:38:10,367 INFO    MainThread:54562 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/mainfs/home/tjc2g19/BeyondTheRainbow/main.py', 'program': '/mainfs/home/tjc2g19/BeyondTheRainbow/main.py'}
2024-02-12 14:38:10,367 INFO    MainThread:54562 [wandb_init.py:_log_setup():526] Logging user logs to /mainfs/home/tjc2g19/BeyondTheRainbow/BTR_emaTrue_trFalse_C8000_lr25e-4/wandb/offline-run-20240212_143810-p676h56h/logs/debug.log
2024-02-12 14:38:10,368 INFO    MainThread:54562 [wandb_init.py:_log_setup():527] Logging internal logs to /mainfs/home/tjc2g19/BeyondTheRainbow/BTR_emaTrue_trFalse_C8000_lr25e-4/wandb/offline-run-20240212_143810-p676h56h/logs/debug-internal.log
2024-02-12 14:38:10,368 INFO    MainThread:54562 [wandb_init.py:init():566] calling init triggers
2024-02-12 14:38:10,368 INFO    MainThread:54562 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'agent_name': 'BTR_emaTrue_trFalse_C8000_lr25e-4', 'game': 'BattleZone', 'steps': 50000000, 'num_envs': 64, 'batch_size': 256, 'IQN': True, 'munchausen': True, 'impala': True, 'model_size': 2, 'noisy': False, 'per_alpha': 0.2, 'discount': 0.99, 'maxpool': True, 'stabiliser': 'ema', 'target_replace': 8000, 'ema_tau': 0.001, 'tr_alpha': 1, 'tr_period': 1500, 'loss': 'huber'}
2024-02-12 14:38:10,368 INFO    MainThread:54562 [wandb_init.py:init():616] starting backend
2024-02-12 14:38:10,368 INFO    MainThread:54562 [wandb_init.py:init():620] setting up manager
2024-02-12 14:38:10,371 INFO    MainThread:54562 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-02-12 14:38:10,379 INFO    MainThread:54562 [wandb_init.py:init():628] backend started and connected
2024-02-12 14:38:10,384 INFO    MainThread:54562 [wandb_init.py:init():720] updated telemetry
2024-02-12 14:38:10,454 INFO    MainThread:54562 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-12 14:38:10,466 INFO    MainThread:54562 [wandb_init.py:init():804] starting run threads in backend
2024-02-12 14:38:19,390 INFO    MainThread:54562 [wandb_run.py:_console_start():2233] atexit reg
2024-02-12 14:38:19,390 INFO    MainThread:54562 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-02-12 14:38:19,391 INFO    MainThread:54562 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-02-12 14:38:19,391 INFO    MainThread:54562 [wandb_run.py:_redirect():2178] Redirects installed.
2024-02-12 14:38:19,392 INFO    MainThread:54562 [wandb_init.py:init():847] run started, returning control to user process
2024-02-13 23:13:17,207 INFO    MainThread:54562 [wandb_run.py:_finish():1962] finishing run BeyondTheRainbow/p676h56h
2024-02-13 23:13:17,207 INFO    MainThread:54562 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 0
2024-02-13 23:13:17,207 INFO    MainThread:54562 [wandb_run.py:_restore():2185] restore
2024-02-13 23:13:17,207 INFO    MainThread:54562 [wandb_run.py:_restore():2191] restore done
2024-02-13 23:13:18,377 INFO    MainThread:54562 [wandb_run.py:_footer_history_summary_info():3857] rendering history
2024-02-13 23:13:18,382 INFO    MainThread:54562 [wandb_run.py:_footer_history_summary_info():3889] rendering summary
