---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                             SEC1        52.15%        7.046s        89.06%       12.032s       9.625ms        5.111s        37.58%       11.836s       9.469ms      78.19 Kb    -538.41 Mb       8.13 Mb     -93.47 Gb          1250
                     aten::conv2d         1.13%     152.763ms        17.40%        2.351s     125.386us      56.722ms         0.42%        2.995s     159.740us           0 b           0 b      29.47 Gb           0 b         18750
                aten::convolution         1.32%     177.960ms        16.27%        2.198s     117.239us      60.737ms         0.45%        2.938s     156.715us           0 b           0 b      29.47 Gb           0 b         18750
               aten::_convolution         3.72%     502.888ms        14.95%        2.020s     107.747us     248.990ms         1.83%        2.878s     153.475us           0 b           0 b      29.47 Gb     -39.14 Mb         18750
                             SEC3         5.15%     696.410ms        10.50%        1.418s       1.135ms      97.174ms         0.71%        1.762s       1.410ms           0 b           0 b           0 b           0 b          1250
          aten::cudnn_convolution         8.78%        1.186s         8.78%        1.186s      63.265us        2.101s        15.45%        2.101s     112.056us           0 b           0 b      29.51 Gb      29.51 Gb         18750
                         aten::to         0.17%      22.796ms         5.24%     707.331ms      47.155us      24.556ms         0.18%        1.576s     105.062us     538.33 Mb           0 b     538.94 Mb           0 b         15000
                   aten::_to_copy         0.53%      72.193ms         5.07%     684.535ms     182.543us      17.361ms         0.13%        1.551s     413.699us     538.33 Mb       7.75 Mb     538.94 Mb           0 b          3750
                      aten::copy_         4.76%     642.928ms         4.76%     642.928ms      73.477us        1.609s        11.83%        1.609s     183.912us           0 b           0 b           0 b           0 b          8750
                       aten::item         0.23%      31.439ms         4.28%     578.839ms     115.768us      17.101ms         0.13%        1.574s     314.761us           0 b           0 b           0 b           0 b          5000
        aten::_local_scalar_dense         4.05%     547.400ms         4.05%     547.400ms     109.480us        1.557s        11.45%        1.557s     311.341us           0 b           0 b           0 b           0 b          5000
