---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                             SEC1        51.31%        6.973s        88.93%       12.086s       9.668ms        5.077s        37.12%       11.891s       9.512ms      78.19 Kb    -538.41 Mb       8.13 Mb     -93.32 Gb          1250
                     aten::conv2d         1.28%     173.544ms        17.96%        2.441s     130.176us      56.994ms         0.42%        3.071s     163.771us           0 b           0 b      29.47 Gb           0 b         18750
                aten::convolution         1.24%     168.812ms        16.68%        2.267s     120.920us      59.510ms         0.44%        3.014s     160.731us           0 b           0 b      29.47 Gb           0 b         18750
               aten::_convolution         3.67%     498.211ms        15.44%        2.098s     111.917us     237.175ms         1.73%        2.954s     157.557us           0 b           0 b      29.47 Gb     -34.73 Mb         18750
                             SEC3         5.32%     722.526ms        10.62%        1.443s       1.155ms      97.049ms         0.71%        1.784s       1.427ms           0 b           0 b           0 b           0 b          1250
          aten::cudnn_convolution         9.30%        1.264s         9.30%        1.264s      67.416us        2.180s        15.94%        2.180s     116.243us           0 b           0 b      29.50 Gb      29.50 Gb         18750
                         aten::to         0.16%      21.843ms         5.32%     723.649ms      48.243us      24.624ms         0.18%        1.569s     104.626us     538.33 Mb           0 b     538.94 Mb           0 b         15000
                   aten::_to_copy         0.47%      63.669ms         5.16%     701.806ms     187.148us      17.387ms         0.13%        1.545s     411.936us     538.33 Mb       3.88 Mb     538.94 Mb           0 b          3750
                      aten::copy_         4.92%     668.984ms         4.92%     668.984ms      76.455us        1.602s        11.71%        1.602s     183.100us           0 b           0 b           0 b           0 b          8750
                       aten::item         0.29%      39.469ms         4.29%     583.446ms     116.689us      17.069ms         0.12%        1.595s     319.068us           0 b           0 b           0 b           0 b          5000
        aten::_local_scalar_dense         4.00%     543.977ms         4.00%     543.977ms     108.795us        1.578s        11.54%        1.578s     315.655us           0 b           0 b           0 b           0 b          5000
